Account,Level,Account Name,Account Title,Standard Cost Equation?,Optional Variable,Optional Value,Sec Optional Variable,Sec Optional Value,Fixed Cost ($),Unit Cost,Unit Cost (units),Scaling Variable,Scaling Variable Ref Value,Units,Exponent,Dollar Year,Type,Source,Ref,Link,Notes,FOAK to NOAK Multiplier Type,Fixed Cost Low End,Fixed Cost High End,Fixed Cost Distribution,Unit Cost Low End,Unit Cost High End,Unit Cost Distribution,Exponent std,Exponent Max,Exponent Min,Exponent Distribution
221.214,5,Control Drums Materials (Reflector),                              Control Drums Materials (Reflector),standard,Control Drum Reflector,Be,,,,44736.84210526316,$/Kg,Control Drum Reflector Mass,19,Kg,1,2024,Material,MARVEL Project ,,,,Factory Be,0,0,Lognormal,40263.15789473685,58157.89473684211,Lognormal,0.1,1,0,Truncated Normal
221.214,5,Control Drums Materials (Reflector),                              Control Drums Materials (Reflector),standard,Control Drum Reflector,Graphite,,,,80,$/Kg,Control Drum Reflector Mass,,,,2022,Material,"Naranjo de Candido and Shirvan, 2022","Naranjo De Candido and Shirvan. (2022). Graphite Life-Cycle Cost Model for HTGRs, International High-Level Radioactive Waste Management Conference",,,Factory Other,0,0,Lognormal,72,104,Lognormal,0.1,1,0,Truncated Normal
221.215,5,Control System Drive Mechanism,                              Control System Drive Mechanism,standard,,,,,,74759,$/Drum,Drum Count,,,,2023,Lab and Mat and Equip,"Prosser et al., 2023","First-Principles Cost Estimation of a Sodium Fast  Reactor Nuclear Plant. INL/RPT-23-74316
Table 38, 39",,Bottom-up Estimation of components with nuclear escalation + contingency,Factory Drums,0,0,Lognormal,67283.1,97186.7,Lognormal,0.1,1,0,Truncated Normal
221.216,5,Shutdown Rod Absorber Material,                              Shutdown Rod Absorber Material,standard,Shutdown Rod Absorber,B4C_natural,,,,14285.714285714286,$/Kg,Shutdown Rod Absorber Mass,28,Kg,1,2024,Material,MARVEL Project ,,,Existing MARVEL natural-B4C cost retained unchanged for shutdown-rod material costing.,Factory Other,0,0,Lognormal,12857.142857142859,18571.428571428572,,,,,
221.216,5,Shutdown Rod Absorber Material,                              Shutdown Rod Absorber Material,standard,Shutdown Rod Absorber,B4C_enriched,,,,10064,$/Kg,Shutdown Rod Absorber Mass,,Kg,1,2023,Material,"Prosser et al., 2023",First-Principles Cost Estimation of a Sodium Fast Reactor Nuclear Plant. INL/RPT-23-74316,,Existing enriched-B4C cost retained unchanged for shutdown-rod material costing.,Factory Other,0,0,Lognormal,9057.6,13083.2,,,,,
221.217,5,Shutdown Rod Cladding Material,                              Shutdown Rod Cladding Material,standard,Shutdown Rod Cladding,SS304,,,,757.2076874606175,$/Kg,Shutdown Rod Cladding Mass,1587,Kg,1,2017,Lab and Mat and Equip,"Ganda et al., 2018","Ganda, F., Hoffman, E., Taiwo, T. A., Kim, T. K., & Hansen, J. (2019). Report on the ACCERT cost algorithms tool (No. ANL/NSE-19/10).",,Ganda stainless_steel cost used as a proxy for SS304 shutdown-rod cladding.,Factory Other,0,0,Lognormal,681.4869187145558,984.3699936988028,,,,,
221.3,3,Non-Fuel Core Internals,                  Non-Fuel Core Internals,standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221.31,4,Reflector,                        Reflector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221.311,5,Radial Reflector,                              Radial Reflector,standard,Radial Reflector,BeO,,,120231,10062.893081761007,$/Kg,Radial Reflector Mass,318,Kg,1,2024,Material,MARVEL Project ,Updated MARVEL Cost Estimate + Communication with MARVEL Team,"Gerstner, D., & Arafat, Y. (2023). MARVEL 90% Final Design Report (No. INL/RPT-23-74280-Rev000). Idaho National Laboratory (INL), Idaho Falls, ID (United States).

Hanna, B. N., Gonzaga de Oliveira, R. G., Mohammad Al Dawood, K. A., Patterson, M. D., Abou Jaoude, A., & Garcia, S. (2024). Technoeconomic Evaluation of Microreactor Using Detailed Bottom-up Estimate (No. INL/RPT-24-80433-Rev000). Idaho National Laboratory (INL), Idaho Falls, ID (United States).",,Factory BeO,108207.90000000001,180346.5,Lognormal,9056.603773584906,13081.761006289309,Lognormal,0.1,1,0,Truncated Normal
221.312,5,Axial Reflector,                              Axial Reflector,standard,Axial Reflector,BeO,,,120231,10062.89308176101,$/Kg,Axial Reflector Mass,318,Kg,1,2024,Material,MARVEL Project ,Updated MARVEL Cost Estimate + Communication with MARVEL Team,,,Factory BeO,108207.90000000001,180346.5,Lognormal,9056.60377358491,13081.761006289315,Lognormal,0.1,1,0,Truncated Normal
221.311,5,Radial Reflector,                              Radial Reflector,standard,Radial Reflector,Be,,,,44736.84210526316,$/Kg,Radial Reflector Mass,19,Kg,1,2024,Material,MARVEL Project ,Updated MARVEL Cost Estimate + Communication with MARVEL Team,,,Factory Be,0,0,Lognormal,40263.15789473685,58157.89473684211,Lognormal,0.1,1,0,Truncated Normal
221.312,5,Axial Reflector,                              Axial Reflector,standard,Axial Reflector,Be,,,,44736.84210526316,$/Kg,Axial Reflector Mass,19,Kg,1,2024,Material,MARVEL Project ,Updated MARVEL Cost Estimate + Communication with MARVEL Team,,,Factory Be,0,0,Lognormal,40263.15789473685,58157.89473684211,Lognormal,0.1,1,0,Truncated Normal
221.311,5,Radial Reflector,                              Radial Reflector,standard,Radial Reflector,Graphite,,,,80,$/Kg,Radial Reflector Mass,,,,2022,Material,"Naranjo de Candido and Shirvan, 2022","Naranjo De Candido and Shirvan. (2022). Graphite Life-Cycle Cost Model for HTGRs, International High-Level Radioactive Waste Management Conference",,,Factory Other,0,0,Lognormal,72,104,Lognormal,0.1,1,0,Truncated Normal
221.312,5,Axial Reflector,                              Axial Reflector,standard,Axial Reflector,Graphite,,,,80,$/Kg,Axial Reflector Mass,,,,2022,Material,"Naranjo de Candido and Shirvan, 2022","Naranjo De Candido and Shirvan. (2022). Graphite Life-Cycle Cost Model for HTGRs, International High-Level Radioactive Waste Management Conference",,,Factory Other,0,0,Lognormal,72,104,Lognormal,0.1,1,0,Truncated Normal
221.311,5,Radial Reflector,                              Radial Reflector,standard,Radial Reflector,Al2O3,,,,134.1,$/Kg,Radial Reflector Mass,,,,2017,Material,NTRD-FCO-2018-000439,,,,Factory Other,0,0,Lognormal,120.69,174.33,Lognormal,0.1,1,0,Truncated Normal
221.312,5,Axial Reflector,                              Axial Reflector,standard,Axial Reflector,Al2O3,,,,134.1,$/Kg,Axial Reflector Mass,,,,2017,Material,NTRD-FCO-2018-000439,,,,Factory Other,0,0,Lognormal,120.69,174.33,Lognormal,0.1,1,0,Truncated Normal
221.32,4,Shield,                        Shield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221.321,5,In Vessel Shield Materials,                              In Vessel Shield Materials,standard,In Vessel Shield Material,B4C_natural,,,647990.6,14285.714285714286,$/Kg,In Vessel Shield Mass,28,Kg,1,2024,Material,MARVEL Project ,,,,Factory Other,583191.54,971985.8999999999,Lognormal,12857.142857142859,18571.428571428572,Lognormal,0.1,1,0,Truncated Normal
221.322,5,Out The Vessel Shield Materials,                              Out The Vessel Shield Materials,standard,Out Of Vessel Shield Material,WEP,,,,20,$/Kg,Out Of Vessel Shield Mass,925.3,Kg,1,2024,Material,MARVEL Project ,,,,Factory Other,0,0,Lognormal,18,26,Lognormal,0.1,1,0,Truncated Normal
221.33,4,Moderator,                        Moderator,standard,Moderator,Graphite,,,,80,$/Kg,Moderator Mass,,Kg,,2022,Material,"Naranjo de Candido and Shirvan, 2022","Naranjo De Candido and Shirvan. (2022). Graphite Life-Cycle Cost Model for HTGRs, International High-Level Radioactive Waste Management Conference",,,Factory Other,,,Lognormal,72,104,Lognormal,0.1,1,0,Truncated Normal
221.33,4,Moderator,                        Moderator,standard,Moderator,monolith_graphite,,,,160,$/Kg,Moderator Mass,,Kg,,2022,Material,Monolith graphite is expected to be more expensive so I multiplied the graphite cost by two,,,,Factory Other,,,Lognormal,144,208,Lognormal,0.1,1,0,Truncated Normal
221.33,4,Moderator,                        Moderator,standard,Moderator,ZrH,,,,1520,$/Kg,Moderator Mass,,Kg,,2017,Material,the Fuel SA&I Cost Basis Report,"Abou-Jaoude, A., C. S. Lohse, L. M. Larsen, N. Guaita, I. Trivedi, F. C. Joseck, E. Hoffman, N. Stauff, K. Shirvan and A. Stein (2024). Meta-Analysis of Advanced Nuclear Reactor Cost Estimations, Idaho National Laboratory (INL), Idaho Falls, ID (United States).",,,Factory Other,,,Lognormal,1368,1976,Lognormal,0.1,1,0,Truncated Normal
221.33,4,Moderator,                        Moderator,standard,Moderator,YHx,,,,1520,$/Kg,Moderator Mass,,Kg,,2017,Material,,We do not know the cost of Yhx. This is just a placeholder for now (assumed to be the same as ZrH),,,Factory Other,,,Lognormal,1368,1976,Lognormal,0.1,1,0,Truncated Normal
221.34,4,Moderator (Booster),                        Moderator (Booster),standard,Moderator Booster Materials,Graphite,,,,80,$/Kg,Moderator Booster Mass Graphite,,Kg,,2022,Material,"Naranjo de Candido and Shirvan, 2022","Naranjo De Candido and Shirvan. (2022). Graphite Life-Cycle Cost Model for HTGRs, International High-Level Radioactive Waste Management Conference",,,Factory Other,,,Lognormal,72,104,Lognormal,0.1,1,0,Truncated Normal
221.34,4,Moderator (Booster),                        Moderator (Booster),standard,Moderator Booster Materials,YHx,,,,1520,$/Kg,Moderator Booster Mass YHx,,Kg,,2017,Material,,We do not know the cost of Yhx. This is just a placeholder for now (assumed to be the same as ZrH),,,Factory Other,,,Lognormal,1368,1976,Lognormal,0.1,1,0,Truncated Normal
221.34,4,Moderator (Booster),                        Moderator (Booster),standard,Moderator Booster Materials,ZrH,,,,1520,$/Kg,Moderator Booster Mass ZrH,,Kg,,2017,Material,the Fuel SA&I Cost Basis Report,"Abou-Jaoude, A., C. S. Lohse, L. M. Larsen, N. Guaita, I. Trivedi, F. C. Joseck, E. Hoffman, N. Stauff, K. Shirvan and A. Stein (2024). Meta-Analysis of Advanced Nuclear Reactor Cost Estimations, Idaho National Laboratory (INL), Idaho Falls, ID (United States).",,,Factory Other,,,Lognormal,1368,1976,Lognormal,0.1,1,0,Truncated Normal
222,2,Main Heat Transport System,            Main Heat Transport System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222.1,3,Fluid Circulation Drive System,                  Fluid Circulation Drive System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222.11,4,Primary Pump,                        Primary Pump,nonstandard,Primary Pump,Yes,,,,8818.5,$/(kg.sec),Primary Pump Mechanical Power,,,0.71,2003,Lab and Mat and Equip,"Data from non-nuclear power plant + Ratio of safety grade pump nomalized cost compared to non-safety grade pump is btween 10 and 15 (12.5 ratio was used, from the EEDB (Ganda 2019, Figure 23)","Roosen, P., Uhlenbruck, S., & Lucas, K. (2003). Pareto optimization of a combined cycle power system as a decision support tool for trading off investment vs. operating costs. International Journal of Thermal Sciences, 42(6), 553-560.


Ganda, F., Hoffman, E., Taiwo, T. A., Kim, T. K., & Hansen, J. (2019). Report on the ACCERT cost algorithms tool (No. ANL/NSE-19/10). Argonne National Lab.(ANL), Argonne, IL (United States).","https://www.sciencedirect.com/science/article/pii/S1290072903000218
https://publications.anl.gov/anlpubs/2019/06/152862.pdf",,Factory Other,0,0,Lognormal,7936.650000000001,11464.050000000001,Lognormal,0.1,1,0,Truncated Normal
222.12,4,Secondary Pump,                        Secondary Pump,nonstandard,Secondary Pump,Yes,,,,705.48,$/(kg.sec),Secondary Pump Mechanical Power,,,0.71,2003,Lab and Mat and Equip,Data from non-nuclear power plant,,,,Factory Other,0,0,Lognormal,634.932,917.124,Lognormal,0.1,1,0,Truncated Normal
222.13,4,Compressor,                        Compressor,nonstandard,reactor type,GCMR,,,,7100000,unitless,,,,,2020,Lab and Mat and Equip,ANL/NSE-20/28,"Hoffman et al. (2020). Improvement of ACCERT Algorithm - FY20 (No. ANL/NSE-20/28). Argonne National Laboratory.(ANL), Argonne, IL (United States).",,"Implemented on the python side. 
Chosen over default due to uncertainty in compressor Pressure Ratio changes based on reactor TH",Factory Other,0,0,Lognormal,6390000,9230000,Lognormal,0.1,1,0,Truncated Normal
222.2,3,Reactor Heat Transfer Piping System,                  Reactor Heat Transfer Piping System,standard,reactor type,GCMR,,,,20000,$/MWe,Power MWe,,,,2017,Equipment,From EEBD,"Ganda, F., Hoffman, E., Taiwo, T. A., Kim, T. K., & Hansen, J. (2019). Report on the ACCERT cost algorithms tool (No. ANL/NSE-19/10). Argonne National Lab.(ANL), Argonne, IL (United States).",,,Factory Other,0,0,Lognormal,18000,26000,Lognormal,0.1,1,0,Truncated Normal
222.2,3,Reactor Heat Transfer Piping System,                  Reactor Heat Transfer Piping System,standard,reactor type,LTMR,,,,20000,$/MWe,Power MWe,,,,2017,Equipment,From EEBD,"Ganda, F., Hoffman, E., Taiwo, T. A., Kim, T. K., & Hansen, J. (2019). Report on the ACCERT cost algorithms tool (No. ANL/NSE-19/10). Argonne National Lab.(ANL), Argonne, IL (United States).",,,Factory Other,0,0,Lognormal,18000,26000,Lognormal,0.1,1,0,Truncated Normal
222.2,3,Reactor Heat Transfer Piping System,                  Reactor Heat Transfer Piping System,standard,reactor type,HPMR,,,,10000,$/heatpipe,Number of Heatpipes,1,,0.7,2017,Equipment,https://inldigitallibrary.inl.gov/sites/sti/sti/Sort_46104.pdf,,,,Factory Other,0,0,Lognormal,9000,13000,Lognormal,0.1,1,0,Truncated Normal
222.3,3,Heat Exchangers,                  Heat Exchangers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222.31,4,Primary Heat Exchanger,                        Primary Heat Exchanger,standard,HX Material,SS316,,,,50,$/Kg,Primary HX Mass,,Kg,,2004,Equipment,Non Nuclear Plants,"Gezelius, K. (2004). Design of compact intermediate heat exchangers for gas cooled fast reactors, Massachusetts Institute of Technology.",,,Factory Other,0,0,Lognormal,45,65,Lognormal,0.1,1,0,Truncated Normal
222.31,4,Primary Heat Exchanger,                        Primary Heat Exchanger,standard,HX Material,800H,,,,120,$/Kg,Primary HX Mass,,Kg,,2013,Equipment,Non Nuclear Plants,"Yoon, S.-J., P. Sabharwall and E.-S. Kim (2013). Analytical study on thermal and mechanical design of printed circuit heat exchanger, Idaho National Lab.(INL), Idaho Falls, ID (United States).",,,Factory Other,0,0,Lognormal,108,156,Lognormal,0.1,1,0,Truncated Normal
222.32,4,Secondary Heat Exchanger,                        Secondary Heat Exchanger,standard,HX Material,SS316,,,,50,$/Kg,Secondary HX Mass,,Kg,,2004,Equipment,Non Nuclear Plants,"Gezelius, K. (2004). Design of compact intermediate heat exchangers for gas cooled fast reactors, Massachusetts Institute of Technology.",,,Factory Other,0,0,Lognormal,45,65,Lognormal,0.1,1,0,Truncated Normal
222.32,4,Secondary Heat Exchanger,                        Secondary Heat Exchanger,standard,HX Material,800H,,,,120,$/Kg,Secondary HX Mass,,Kg,,2013,Equipment,Non Nuclear Plants,"Yoon, S.-J., P. Sabharwall and E.-S. Kim (2013). Analytical study on thermal and mechanical design of printed circuit heat exchanger, Idaho National Lab.(INL), Idaho Falls, ID (United States).",,,Factory Other,0,0,Lognormal,108,156,Lognormal,0.1,1,0,Truncated Normal
222.5,3,Initial Coolant Inventory,                  Initial Coolant Inventory,standard,Coolant,Helium,,,,170,$/Kg,Onsite Coolant Inventory,,Kg,,2024,Material,Fernandez de Losada. (2024). Assessment of the Lifecycle Cost of Nuclear-Grade Coolants for Advanced Reactors. ETHzurich. Swiss.,Fernandez de Losada. (2024). Assessment of the Lifecycle Cost of Nuclear-Grade Coolants for Advanced Reactors. ETHzurich. Swiss.,https://doi.org/10.3929/ethz-b-000709311,Vendor Quoate (Linde) for 3000 cylinders of 99.999% purity Helium. 3000 cylinders correspond to ~4 MT of He.,No Learning,0,0,Lognormal,153,221,Lognormal,0.1,1,0,Truncated Normal
222.5,3,Initial Coolant Inventory,                  Initial Coolant Inventory,standard,Coolant,NaK,,,,118,$/Kg,Onsite Coolant Inventory,,Kg,,2023,Material,,,,,No Learning,,,,106.2,153.4,Lognormal,0.1,1,0,Truncated Normal
222.6,3,Integrated Heat Transfer Vessel,                  Integrated Heat Transfer Vessel,,reactor type,GCMR,,,,,,,,,,,,,,,,,,,,,,,,,,
222.61,4,Integrated Heat Transfer Vessel,                        Integrated Heat Transfer Vessel,standard,reactor type,GCMR,,,,50,$/Kg,Integrated Heat Transfer Vessel Mass,,Kg,,2004,Lab and Mat and Equip,Non Nuclear Plants,"Gezelius, K. (2004). Design of compact intermediate heat exchangers for gas cooled fast reactors, Massachusetts Institute of Technology.",,"Custom Accounts to model the vessel that houses the PCHE, Circulator, and Pipe Connections. These are assumed to be SA508 for now but use the same unit-cost as SS PCHE",Factory Other,0,0,Lognormal,45,65,Lognormal,0.1,1,0,Truncated Normal
222.62,4,Integrated Heat Transfer System Support,                        Integrated Heat Transfer System Support,standard,reactor type,GCMR,,,,8.193826873385014,$/Kg,Integrated Heat Transfer Vessel Mass,387000,Kg,0.85,2018,Lab and Mat and Equip,PWR12-ME,"Gezelius, K. (2004). Design of compact intermediate heat exchangers for gas cooled fast reactors, Massachusetts Institute of Technology.",,,Factory Other,0,0,Lognormal,7.374444186046513,10.651974935400519,Lognormal,0.1,1,0,Truncated Normal
223,2,Safety Systems,            Safety Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.2,3,Reactor Cavity Cooling System (Rvacs),                  Reactor Cavity Cooling System (Rvacs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.21,4,Rvacs (Cooling Vessel),                        Rvacs (Cooling Vessel),standard,,,,,,757.2076874606175,$/Kg,Cooling Vessel Mass,,,,2017,Lab and Mat and Equip,"Ganda et al., 2018","Ganda, F., Hoffman, E., Taiwo, T. A., Kim, T. K., & Hansen, J. (2019). Report on the ACCERT cost algorithms tool (No. ANL/NSE-19/10). Argonne National Lab.(ANL), Argonne, IL (United States).",,,Factory Other,0,0,Lognormal,681.4869187145558,984.3699936988028,Lognormal,0.1,1,0,Truncated Normal
223.22,4,Rvacs (Intake Vessel),                        Rvacs (Intake Vessel),standard,,,,,,757.2076874606175,$/Kg,Intake Vessel Mass,,,,2017,Lab and Mat and Equip,"Ganda et al., 2018","Ganda, F., Hoffman, E., Taiwo, T. A., Kim, T. K., & Hansen, J. (2019). Report on the ACCERT cost algorithms tool (No. ANL/NSE-19/10). Argonne National Lab.(ANL), Argonne, IL (United States).",,,Factory Other,0,0,Lognormal,681.4869187145558,984.3699936988028,Lognormal,0.1,1,0,Truncated Normal
226,2,Other Reactor Plant Equipment,            Other Reactor Plant Equipment,standard,reactor type,LTMR,,,456297,,,,,,,2024,Equipment,MARVEL,,,,Factory Other,410667.3,684445.5,Lognormal,0,0,Lognormal,0.1,1,0,Truncated Normal
226,2,Other Reactor Plant Equipment,            Other Reactor Plant Equipment,standard,reactor type,GCMR,,,,118207.77405377067,unitless,Primary Loop Mass Flow Rate,610.21,kg/s,0.6,2023,Lab and Mat and Equip,DOE-ET-34222-T1,"1170 MWt HTGR Steamer Cogeneration Plant Design and Cost Study, United Engineers & Constructors Inc. Philadelphia, Pennsylvania. 1980]",https://www.osti.gov/servlets/purl/5084245,"Cost scalated based on Park et al., 2024 - Bottom-up ….",Factory Other,0,0,Lognormal,106386.9966483936,153670.10626990188,Lognormal,0.1,1,0,Truncated Normal
227,2,Reactor Instrumentation and Control (I&C),            Reactor Instrumentation and Control (I&C),standard,,,,,8500000,,,,,,,2023,Lab and Equip,"Shirvan et al., 2023","Shirvan et al,. (2023). UO2-fueled microreactors: Near-term solutions to emerging marktets. Nuclear Engineering and Design. ",https://doi.org/10.1016/j.nucengdes.2023.112470,Cost based on FOAK Digital I&C with 2-out-of-4 voting logic,Factory Other,7650000,12750000,Lognormal,0,0,Lognormal,0.1,1,0,Truncated Normal
228,2,Reactor Plant Miscellaneous Items,            Reactor Plant Miscellaneous Items,standard,,,,,30960,,,,,,,2024,Lab and Mat and Equip,MARVEL,,,,Factory Other,27864,46440,Lognormal,0,0,Lognormal,0.1,1,0,Truncated Normal
23,1,Energy Conversion System ,      Energy Conversion System ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,2,Energy Applications,            Energy Applications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232.1,3,Electricity Generation Systems,                  Electricity Generation Systems,standard,,,,,,12504,$/kWe,BoP Power kWe,1,,0.777,2023,Lab and Mat and Equip,INL/RPT-24-80433 Rev.1,INL/RPT-24-80433 Rev.1,https://www.osti.gov/biblio/2447366,,Non-nuclear off-the-shelf,0,0,Lognormal,11253.6,16255.2,Lognormal,0.1,1,0,Truncated Normal
236,2,Common Instrumentation & Controls,            Common Instrumentation & Controls,standard,,,,,1000000,,,,,,,2023,Lab and Mat and Equip,"Shirvan et al., 2023","Shirvan et al,. (2023). UO2-fueled microreactors: Near-term solutions to emerging marktets. Nuclear Engineering and Design. ",https://doi.org/10.1016/j.nucengdes.2023.112470,,Factory Other,900000,1500000,Lognormal,,,,,,,
24,1,Electrical Equipment,      Electrical Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,2,Switchgear,            Switchgear,standard,,,,,,12609.009795601574,$/MWe,Power MWe,1144,MWe,0.6,2018,Lab and Mat and Equip,"EEDB PWR12-ME + Stewart and Shirvan (2022)

Scales PWR12-ME costs with simplifications based on Stewart and Srhivan (2022)","Stewart, W. R., & Shirvan, K. (2022). Capital cost estimation for advanced nuclear power plants. Renewable and Sustainable Energy Reviews, 155, 111880.",,,Non-nuclear off-the-shelf,0,0,,11348.108816041417,16391.712734282046,Lognormal,0.1,1,0,Truncated Normal
242,2,Station Service Equipment,            Station Service Equipment,standard,,,,,,10483.078127225175,$/MWe,Power MWe,1144,MWe,0.6,2018,Lab and Mat and Equip,,,,,Non-nuclear off-the-shelf,0,0,,9434.770314502657,13628.001565392728,Lognormal,0.1,1,0,Truncated Normal
243,2,Switchboards,            Switchboards,standard,,,,,,3404.0615157416346,$/MWe,Power MWe,1144,MWe,0.6,2018,Lab and Mat and Equip,,,,,Non-nuclear off-the-shelf,0,0,,3063.6553641674714,4425.279970464125,Lognormal,0.1,1,0,Truncated Normal
244,2,Protective Equipment,            Protective Equipment,standard,,,,,,9776.146788199037,$/MWe,Power MWe,1144,MWe,0.6,2018,Lab and Mat and Equip,,,,,Non-nuclear off-the-shelf,0,0,,8798.532109379134,12708.99082465875,Lognormal,0.1,1,0,Truncated Normal
245,2,Electrical Structure & Wiring Container,            Electrical Structure & Wiring Container,standard,,,,,,52720.70251176224,$/MWe,Power MWe,1144,MWe,0.6,2018,Lab and Mat and Equip,,,,,Non-nuclear off-the-shelf,0,0,,47448.63226058602,68536.91326529092,Lognormal,0.1,1,0,Truncated Normal
246,2,Power & Control Wiring,            Power & Control Wiring,standard,,,,,,39871.571219729194,$/MWe,Power MWe,1144,MWe,0.6,2018,Lab and Mat and Equip,,,,,Non-nuclear off-the-shelf,0,0,,35884.41409775628,51833.042585647956,Lognormal,0.1,1,0,Truncated Normal
25,1,Initial Fuel Inventory,      Initial Fuel Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,2,First Core Mining,            First Core Mining,standard,,,,,,184,$/Kg,Natural Uranium Mass,,,,2022,Material,"INL Cost Basis Report & Meta analysis for the nuclear reactor costs

UO2-fueled microreactors: Near-term solutions to emerging markets","Abou-Jaoude, Abdalla, et al. Meta-Analysis of Advanced Nuclear Reactor Cost Estimations. No.
INL/RPT-24-77048-Rev001. Idaho National Laboratory (INL), Idaho Falls, ID (United
States), 2024. 

Abou-Jaoude, A., Y. Arafat, A. Foss, and B. Dixon. 2021. “An Economics-by-Design Approach
Applied to a Heat Pipe Microreactor Concept.” INL/EXT-21-63067, Rev. 000, Idaho
National Laboratory, Idaho Falls, Idaho. https://doi.org/10.2172/1811894. 

Kororush Shirvan, Jacopo Buongiorno, Ruaridh MacDonald, Bradley Dunkin, Sacit Cetiner, Earl Saito, Thomas Conboy, Charles Forsberg,
UO2-fueled microreactors: Near-term solutions to emerging markets,
Nuclear Engineering and Design",,,No Learning,0,0,Lognormal,165.6,239.20000000000002,Lognormal,0.1,1,0,Truncated Normal
252,2,First Core Conversion ,            First Core Conversion ,standard,,,,,,15.1,$/Kg,Natural Uranium Mass,,,,2022,Material,,,,,No Learning,0,0,Lognormal,13.59,19.63,Lognormal,0.1,1,0,Truncated Normal
253,2,First Core Enrichment ,            First Core Enrichment ,nonstandard,,,,,,184.2,$/SWU,SWU,,,1,2022,Material,,,,,No Learning,0,0,Lognormal,165.78,239.45999999999998,Lognormal,0.1,1,0,Truncated Normal
254,2,First Core Fuel Assembly Fabrication ,            First Core Fuel Assembly Fabrication ,standard,TRISO Fueled,No,Fuel,TRIGA_fuel,,1520,$/Kg,Uranium Mass,,,,2023,Material,,,,,Factory Other,0,0,Lognormal,1368,1976,Lognormal,0.1,1,0,Truncated Normal
254,2,First Core Fuel Assembly Fabrication ,            First Core Fuel Assembly Fabrication ,standard,TRISO Fueled,No,Fuel, UO2,,250,$/Kg,Uranium Mass,,,,2023,Material,,,,,Factory Other,0,0,Lognormal,225,325,Lognormal,0.1,1,0,Truncated Normal
254,2,First Core Fuel Assembly Fabrication ,            First Core Fuel Assembly Fabrication ,standard,TRISO Fueled,Yes,,,,10000,$/Kg,Uranium Mass,,,,2009,Material,,,,,Factory Other,0,0,Lognormal,9000,13000,Lognormal,0.1,1,0,Truncated Normal
26,1,Miscellaneous Equipment (Cranes),      Miscellaneous Equipment (Cranes),standard,,,,,1000000,,,,,,,2021,Equipment,A study for the mass manufacruing and factory fabrication of microreactors,"Abou-Jaoude, A., Arafat, Yasir, Foss, Andrew Wilkin, and Dixon, Brent W (2021). An Economics-by-Design Approach Applied to a Heat Pipe Microreactor Concept. 2021. Idaho National Laboratory: Idaho Falls, ID, Idaho National Laboratory.",,,Factory Other,900000,1500000,Lognormal,0,0,Lognormal,0.1,1,0,Truncated Normal
30,0,Capitalized Indirect Services Cost,Capitalized Indirect Services Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1,Factory & field indirect costs,      Factory & field indirect costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1,Factory and construction supervision,      Factory and construction supervision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1,Startup Costs,      Startup Costs,standard,,,,,2407166.4,,,,,,,2024,Lab and Equip,MARVEL,,,,Onsite Learning,2166449.76,3610749.5999999996,Lognormal,0,0,Lognormal,0.1,1,0,Truncated Normal
34,1,Shipping and Transportation Costs,      Shipping and Transportation Costs,standard,,,,,832641.4,,,,,,,2024,Lab and Equip,,,,,Onsite Learning,749377.26,1248962.1,Lognormal,0,0,Lognormal,0.1,1,0,Truncated Normal
35,1,Engineering Services,      Engineering Services,standard,,,,,620313.5877378316,,,,,,,2024,Labor,,,,,Onsite Learning,558282.2289640484,930470.3816067474,Lognormal,0,0,Lognormal,0.1,1,0,Truncated Normal
36,1,PM/CM Services,      PM/CM Services,standard,,,,,416958.9359999997,,,,,,,2024,Labor,,,,,Onsite Learning,375263.04239999974,625438.4039999995,Lognormal,0,0,Lognormal,0.1,1,0,Truncated Normal
40,0,Capitalized training costs,Capitalized training costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1,staff recruitment and training,      staff recruitment and training,standard,,,,,300000,,,,,,,2024,Labor,,"Al-Dawood, Khaldoon and Hanna, Botros and Balla, Sai and de Oliveira, Rodrigo and Garcia, Samuel and McCarthy, Dan and Bolisetti, Chandrakanth and Lindley, Ben and Abou-Jaoude, Abdalla, Open-Source Microreactor Design Models for Technoeconomic Assessment. ",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5163464,,No Learning,270000,450000,Lognormal,0,0,Lognormal,0.1,1,0,Truncated Normal
60,0,Capitalized Financial Costs ,Capitalized Financial Costs ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
